116,"wind-ons_3",40759.8452054118
116,"wind-ons_4",41040.143458204
116,"wind-ons_5",22163.3147719448
116,"hydNPND",20702.2031601312
116,"hydEND",69838.9904945725
117,"coal-new",1654625.028
117,"distPV",1073.26860732
117,"lfill-gas",948.3936
117,"hydUND",37447.8778408892
117,"hydEND",77894.0824342389
118,"coal-new",417247.32
118,"distPV",3569.37343308
118,"lfill-gas",5086.8384
118,"upv_4",30833.3209262399
118,"dupv_3",714.094932660524
118,"wind-ons_2",47203.8189545172
118,"wind-ons_3",35737.1135164436
118,"wind-ons_4",34347.7705095243
118,"hydED",32669.3718977598
118,"hydEND",28600.1236809102
119,"distPV",3216.34292616
119,"wind-ons_1",34118.3000717817
119,"wind-ons_2",110693.181867206
119,"wind-ons_3",79609.1503956459
119,"wind-ons_4",108645.712803803
12,"battery",-518.945244683025
12,"coal-new",149388.2208
12,"distPV",23027.64940476
12,"Gas-CC",615498.726941836
12,"lfill-gas",1379.4816
12,"upv_6",104535.343355233
12,"wind-ons_7",37196.824117128
12,"wind-ons_8",2948.6429997408
12,"csp2_12",13860
12,"hydEND",4326.96716922703
12,"geohydro_pflash_1",245700
120,"distPV",2743.34585616
120,"lfill-gas",8966.6304
120,"wind-ons_5",17928.727437129
121,"distPV",28197.50870664
121,"lfill-gas",862.176
121,"upv_3",24861.6317110978
121,"dupv_3",870.035062232028
121,"wind-ons_1",7613.02356914109
121,"wind-ons_2",52147.7092270292
121,"wind-ons_3",94500.7711465894
121,"wind-ons_4",67658.5080239814
121,"wind-ons_5",23217.1736862762
121,"hydEND",2710.33353067957
122,"coal-new",1467889.752
122,"CoalOldScr",1351060.5024
122,"distPV",192654.25225956
122,"Gas-CC",10200133.44
122,"lfill-gas",159718.104
122,"Nuclear",3512637.576
122,"upv_2",23.417498901225
122,"upv_3",3155.91138716363
122,"dupv_2",344.918480114375
122,"dupv_3",5068.41105985835
122,"wind-ons_1",234170.329116896
122,"wind-ons_2",402459.517128661
122,"wind-ons_3",179783.158084029
122,"wind-ons_4",255197.645621673
122,"wind-ons_5",46428.4173738653
122,"hydUD",1173.84792889767
122,"hydUND",19436.7478072711
122,"hydED",11776.4448848484
122,"hydEND",204539.465456208
123,"coal-new",329693.784
123,"distPV",231758.33217264
123,"Gas-CC",1924466.712
123,"lfill-gas",56041.44
123,"Nuclear",1266709.416
123,"upv_3",1712214.51270644
123,"dupv_3",14231.0365318299
123,"wind-ofs_2",93996.0198816685
123,"wind-ofs_3",225216.91768056
123,"wind-ons_5",128.830216339201
123,"wind-ons_7",29433.8057996217
123,"hydUND",18169.5541604318
123,"hydEND",196258.610674793
124,"distPV",154.6096734
124,"upv_3",26045.3259420805
125,"distPV",34435.16055252
125,"Gas-CC",764887.023445192
125,"lfill-gas",4310.88
125,"upv_3",5180.60976158719
125,"dupv_3",2614.11826096579
125,"wind-ons_5",74.2187273873647
126,"battery",-259.782458704766
126,"distPV",641392.99064568
126,"Gas-CC",4637381.784
126,"lfill-gas",70913.976
126,"Nuclear",2609519.304
126,"upv_3",150496.751771377
